username,password,first_name,last_name,email,telephone,age,country,is_admin,sex
user1,$2a$12$2P6ULcHYYZFDk5eMQWshb.qxQkuWuOkrn8hrHLiBFHSgdyGs59WF6,Vasiliki,Mode,mode@gmail.com,6945552333,20,Greece,false,female
user2,$2a$12$r..7DxHDVbN0kuMJSEpMgOVjFg.jYaoruVsPRmhmaxE2wv.2kV7Hm,Panagiotis,Alex,panosalex@gmail.com,6945559764,29,Greece,false,male
user3,$2a$12$0L0BlEn9ONUVhCZ/xrwqlO1wVTJqP8KR/lEWDCL6hVTEirbERPGge,Iro,Kariofili,iro@gmail.com,6945552191,24,Cyprus,false,female
user4,$2a$12$TMCKwYJzUPXQieAjvSieT.xZYDaaY8GFtqq8Hz5aRudB5IdaEHuPe,Stauros,Depountis,depountis@gmail.gr,2105551153,22,Greece,false,male
user5,$2a$12$Xp0NXfy/Jif7RLMccJ3Lg.F72nlRHv8t2nxfdta6.6Eye.8q5jmpC,Athanasia,Pegkou,pathapeg@gmail.com,2105550570,25,Cyprus,false,female
user6,$2a$12$B2lzxgTPA8xtRj2k6NK0b.U.4k5BU1OSVhU.MlTcNsUlSYSMTPE7W,Giorgos,pappas,pappasgeorge@yahoo.gr,6955552510,18,Greece,false,male
user7,$2a$12$q3wSNZpnHcCZ5L2SinHa6exKSW50hpNC6Qq2exsq6Yv3ASxL2yVNm,Christos,Den,ChrisDen@gmail.com,6985558855,35,Another-country,false,male
user8,$2a$12$L9ckm3uf6f0igCUlSgOqV.IV7MMUcs3efWbI8F2w65bGBKm5X1BDK,Γιάννης,Κατοίκος,gianniskatoikos123@gmai.com,6955557383,21,Greece,true,male
user9,$2a$12$ywRpg3el/WYJOVdqO8dmSuVP7jLGNVmGwvDKChUjp5nI8hRknL.76,Κωνσταντίνα,Θανοπούλου,konnathap@yahoo.gr,6975557367,21,Greece,true,female
user10,$2a$12$nMEfC69/Q2uzv6.Te7vfz.KW2i4FnGa9pOnZrV/.xrRbTZ80oQleu,Penny,Wise,pennywise@gmail.com,6955551916,30,Another-country,false,other
